model,accuracy,auc,f1_macro,f1_weighted,confusion_matrix,size_MB,inference_time_ms_cpu,inference_time_ms_gpu
original,0.6200631911532386,0.865091761040091,0.6326716386623721,0.6200709686045747,"[[397 174   5  11   5]
 [152 661  71 126  31]
 [ 13 119 412  70   5]
 [ 38 196  90 488 135]
 [  6  44   3 149 397]]",514.6191902160645,2547.18,8.25
quantized,0.3193786203264876,0.719740674136665,0.2370876626754228,0.2304259173187845,"[[  1  46  11 523  11]
 [  0  13  75 924  29]
 [  0   1 181 434   3]
 [  0   3  31 878  35]
 [  0   1   2 456 140]]",188.04985427856445,2136.98,
pruned,0.592943654555029,0.8491562356754037,0.6082307105274554,0.5931657902337871,"[[394 151   7  32   8]
 [169 544  63 209  56]
 [ 13  86 367 139  14]
 [ 31 148  48 515 205]
 [  8  30   2 127 432]]",487.59282302856445,2531.95,7.84
distilled,0.7917324907846235,0.9396085109830804,0.8008692147188707,0.7918410961239404,"[[517  65   2   4   4]
 [106 782  21 115  17]
 [  3  71 476  61   8]
 [  7  79  25 720 116]
 [  0   8   0  79 512]]",313.27934646606445,1327.3,4.4
