original,quantized,pruned,distilled
0.62,0.13,0.66,0.74
514.6191902160645,188.03518676757812,514.6191902160645,313.27934646606445
7.98,154.73,7.83,4.14
2527.01,,2527.01,2527.03
0.0,0.0,0.0,0.0
