model,accuracy,auc,f1_macro,f1_weighted,confusion_matrix,size_MB,inference_time_ms_cpu,inference_time_ms_gpu
original,0.6848341232227488,0.9009012269822682,0.6973359784526607,0.68569801899127,"[[409 156   6  21   0]
 [123 685  54 165  14]
 [  7  70 474  65   3]
 [ 28 117  49 597 156]
 [  3  16   2 142 436]]",1278.4922065734863,6378.42,31.5
quantized,0.3675618746708794,0.7028619337593894,0.25515134532209727,0.2941518463660486,"[[  6 517   2  67   0]
 [  0 794  13 234   0]
 [  0 351 178  90   0]
 [  0 453  76 418   0]
 [  0 126  15 458   0]]",121.64455032348633,4711.32,
pruned,0.6608741442864665,0.887897032325496,0.6662427053511213,0.660499073695948,"[[285 277  10  20   0]
 [ 41 714  80 200   6]
 [  1  76 490  51   1]
 [ 10 125  74 679  59]
 [  2  21   3 231 342]]",1182.4218940734863,5340.6,28.58
distilled,0.8362295945234334,0.967815921648295,0.8427052184165786,0.836544071565064,"[[525  60   1   6   0]
 [117 846  13  61   4]
 [  0  60 511  48   0]
 [  5  67  21 772  82]
 [  0   3   0  74 522]]",255.42580032348633,1284.04,4.74
