model,accuracy,auc,f1_macro,f1_weighted,confusion_matrix,size_MB,inference_time_ms_cpu,inference_time_ms_gpu
original,0.7185360716166403,0.9105855072149385,0.7279515565159307,0.7201817557579261,"[[394 184   3  11   0]
 [ 87 758  51 136   9]
 [  3  65 485  62   4]
 [ 13 124  39 688  83]
 [  3   9   4 179 404]]",1278.4922065734863,5727.56,31.6
quantized,0.30963665086887837,0.7029876714043239,0.21369815339796316,0.23011430060796262,"[[  1 250 137 204   0]
 [  0 168 487 386   0]
 [  0  19 528  72   0]
 [  0  47 426 474   0]
 [  0   9  89 496   5]]",121.64455032348633,3764.08,
pruned,0.6666666666666666,0.8938271766095074,0.6564213172107036,0.6591250803077214,"[[233 337   9  13   0]
 [ 23 801  65 151   1]
 [  0  68 498  53   0]
 [  2 137  59 727  22]
 [  0  12   3 311 273]]",1182.4218940734863,5360.52,28.63
distilled,0.8359662980516062,0.9659333901456084,0.8423378617163984,0.8363954705013703,"[[519  67   1   5   0]
 [100 859  16  62   4]
 [  0  56 508  55   0]
 [  2  70  24 776  75]
 [  0   3   0  83 513]]",255.42580032348633,1454.2,4.46
