model,accuracy,auc,f1_macro,f1_weighted,confusion_matrix,size_MB,inference_time_ms
original,0.6,0.8911637735575265,0.6164533196791261,0.6140723672981737,"[[8 4 0 1 1]
 [1 7 0 4 0]
 [1 2 5 1 0]
 [0 2 0 8 2]
 [0 0 0 5 8]]",514.6191902160645,8.47
quantized,0.26666666666666666,0.7872805038605019,0.16911764705882354,0.17696078431372547,"[[ 0  3  0 11  0]
 [ 0  0  1 11  0]
 [ 0  0  0  9  0]
 [ 0  0  0 12  0]
 [ 0  0  0  9  4]]",188.04985427856445,1730.38
pruned,0.65,0.8972785086128191,0.6453805453805453,0.6487043820377154,"[[ 8  4  0  1  1]
 [ 2  7  0  3  0]
 [ 2  2  4  1  0]
 [ 0  1  0  9  2]
 [ 0  0  0  2 11]]",514.6191902160645,8.3
distilled,0.6833333333333333,0.9134107852206562,0.6745503487572454,0.6831710384124177,"[[11  1  0  2  0]
 [ 4  7  0  1  0]
 [ 0  3  4  2  0]
 [ 0  2  0  8  2]
 [ 0  0  0  2 11]]",313.27934646606445,4.59
