model,accuracy,auc,f1_macro,f1_weighted,confusion_matrix,size_MB,inference_time_ms
original,0.6333333333333333,0.9163023450206478,0.6267806267806268,0.633960113960114,"[[ 8  4  0  2  0]
 [ 3  8  1  0  0]
 [ 1  1  4  3  0]
 [ 0  2  0  8  2]
 [ 0  0  1  2 10]]",1278.4922065734863,32.96
quantized,0.3,0.6783595549690737,0.1921513002364066,0.1965957446808511,"[[ 1 11  0  2  0]
 [ 0  9  0  3  0]
 [ 0  8  0  1  0]
 [ 0  4  0  8  0]
 [ 0  3  0 10  0]]",121.64455032348633,4085.71
pruned,0.6333333333333333,0.9204811607806859,0.6252148541114059,0.6340481874447392,"[[8 4 0 2 0]
 [2 8 2 0 0]
 [1 1 4 3 0]
 [0 1 0 9 2]
 [0 0 1 3 9]]",1278.4922065734863,31.58
distilled,0.7,0.9226626693693203,0.6860398860398861,0.6955175688509023,"[[12  1  0  1  0]
 [ 4  7  0  1  0]
 [ 0  4  4  1  0]
 [ 0  1  0  8  3]
 [ 0  0  0  2 11]]",255.42580032348633,4.56
