original,quantized,pruned,distilled
0.62,0.13,0.66,0.74
514.6191902160645,188.03518676757812,514.6191902160645,313.27934646606445
7.93,1052.53,7.8,4.09
2527.06,,2527.06,2527.08
0.0,0.0,0.0,0.0
